2017-03-27 | canal 3 | 13:10 | dud |  | 5 mil rosarinos en la #CarreraUnicef
2017-03-28 | canal 3 | 20:17 | neg | esteban rapazzo | Deportes20:42 ? Monticas: informe indicó que el neumático no estaba recapado Nota Esteban Rapazzo (Presidente Federación de Reconstructores de Neumáticos)
2017-03-28 | canal 3 | 20:47 | neg | casilda monticas | Vivo Casilda Monticas: informe indicó que el neumático no estaba recapado Avanza la investigación por la tragedia de Monticas Fiscales recibieron a víctimas de la tragedia Notas Dr Walter Jurado (Fiscal) y Dra Valeria Piazza Iglesias (Fiscal)
2017-03-28 | canal 3 | 21:16 | pos | gustavo teres | El gobierno confía en que los docentes acepten Docentes públicos analizarán propuesta El viernes definirán en asamblea Notas Gustavo Teres (Secretario general AMSAFE Rosario) y Claudia Balagué (Ministra de Educación provincia de Santa Fe)
2017-03-28 | canal 3 | 21:19 | pos | monica fein | Municipales: el gremio define si acepta la propuesta Nota Intendenta Mónica Fein
2017-03-28 | canal 3 | 12:53 | neg |  | Deportes11:56 ? Monticas: La UTA pide definiciones Móvil Bv 27 de Febrero
2017-03-28 | canal 3 | 12:13 | neg | abril nota | Deportes12:26 ? Monticas: no se define situación de 250 empleados La UTA y la adhesión al paro del 6 de abril Nota a Manuel Cornejo
2017-03-28 | canal 3 | 13:33 | neg | casilda tras | Nuevo reclamo de vecinos de Casilda tras la tragedia del Monticas
2017-03-28 | canal 3 | 13:35 | neg |  | Retiran los restos del colectivo Monticas Resultados de las pericia Móvil ruta 33, Km 779; Pérez
2017-03-28 | canal 3 | 13:39 | neg |  | Monticas: duras denuncias a la CNRT Afirman que los coches no podían funcionar
2017-03-29 | canal 3 | 12:03 | neg | valeria piazza | Avanza la investigación por la tragedia de Monticas Fiscales recibieron a víctimas de la tragedia Nota a Valeria Piazza Iglesias (Fiscal) ? Walter Jurado (Fiscal)
2017-03-29 | canal 3 | 12:06 | neg |  | Monticas: informe indicó que el neumático no estaba recapado Avanza la investigación por la tragedia de Monticas
2017-03-29 | canal 3 | 12:12 | neg | analia chumpitaz | Parque Irigoyen Preocupación por más casos de dengue autóctono Dengue: esta mañana hicieron bloqueo sanitario Nota a Analía Chumpitaz (Dirección de Epidemiología) ? Guillermo Palombo (Dirección de Control de Vectores)
2017-03-30 | canal 3 | 20:03 | pos | martin congestion | Vivo Autopista a Santa Fe, acceso a Puerto General San Martín Congestión de camiones por la cosecha gruesa
2017-03-30 | canal 3 | 20:20 | pos | martin congestion | Vivo Autopista a Santa Fe, acceso a Puerto General San Martín Congestión de camiones por la cosecha gruesa
2017-03-30 | canal 3 | 20:48 | neg | martin paro | Plaza San Martín Paro de la CTA: adhesión de gremios rosarinos Nota Gustavo Teres (AMSAFE Rosario) Buenos Aires Micheli pidió que el paro del 6 de abril sea contundente Reclamo contra las medidas del gobierno nacional
2017-03-30 | canal 3 | 21:16 | pos | monica fein | Primera asamblea del Plan Estratégico Rosario 2030 De la reunión participaron organizaciones de la ciudad La intendenta sobre el juicio por el crimen del ?Pájaro? Cantero Nota Intendenta Mónica Fein
2017-03-30 | canal 3 | 21:20 | pos | miguel lifschitz | ?Pájaro? Cantero: Lifschitz se refirió a la sentencia ?Me sorprendió negativamente? ?Nadie en Rosario esperaba ese fallo? Nota Gobernador Miguel Lifschitz
2017-03-30 | canal 3 | 13:02 | pos | miguel lifschitz | El Gobernador le habla a los docentes Entrevista a Miguel Lifschitz (Gobernador)
2017-03-31 | canal 3 | 11:56 | neg |  | Fisherton: atropello a un cadete y se dio a la fuga La conductora nunca bajo de la chata, se dio a la fuga El joven atropellado está internado en el Heca
2017-03-31 | canal 3 | 12:16 | neg |  | Fisherton: atropello a un cadete y se dio a la fuga El joven atropellado está internado en el Heca
2017-03-31 | canal 3 | 13:01 | neg |  | Los jueces contra Lifschitz Por fallo del crimen de Cantero
2017-04-03 | canal 3 | 20:09 | neg | jose iantosca | Taxistas van por el aumento en la tarifa El miércoles se trata el aumento en el Concejo Concejales votan por un 30% de aumento Jueves sin colectivos ni taxis Nota José Iantosca (CATILTAR)
2017-04-03 | canal 3 | 20:26 | neg | manuel cornejo | Monticas: reincorporaron a los choferes tras la tragedia Nota Manuel Cornejo (Secretario general UTA Rosario)
